name,point,Lon,Lat
North Florida,1,-79.75384615,30.47179487
North Florida,2,-79.95897436,30.47179487
North Florida,3,-79.95897436,30.30769231
North Florida,4,-79.75384615,30.30769231
North Florida,5,-79.75384615,30.47179487
Georgia,1,-80.34871795,31.7025641
Georgia,2,-80.63589744,31.7025641
Georgia,3,-80.51282051,31.53846154
Georgia,4,-80.34871795,31.53846154
Georgia,5,-80.34871795,31.7025641
Demo,1,-88.25935,41.371775
Demo,2,-88.25935,41.415965
Demo,3,-88.16802,41.415965
Demo,4,-88.16802,41.371775
Demo,5,-88.25935,41.371775
